amount,address
18473222, terra10ug3jy73nhs33h9zqurhpgpyu8ucfetk55rtg5
212916, terra10umudw2hetdeqqh2pevwf66fjqa5dat0lh5kmf
0, terra10us3q6lr34chmln5z7pl3lw5avx3k06hc8tx4j
18460302, terra10us9cmvqzwy0tnwe8phjts8t3lkdvzn35qg8yd
37023862, terra10v2q5cr3suk45ujqka9cpnlejvshzm9v24mrxm
18464067, terra10v9y494gy2gdt4fmp0e9uut59hc4p0vcvycjfy
40850024, terra10vhcw4r63yu9dp99qmka607gnkver45sy8krhf
57642622, terra10vkumckcpsp9e47cjqrgst6xspw3pjfvk0m4qt
0, terra10vsmu5w2f054qutcr9uddvshx6uq7nmm7xjvn6
0, terra10vvde8xjyvfarlhkrqetrq9egfklxdjss50qd9
151720523, terra10vvuwpsxpanaprjn36438g80djkprk9wdmhrqn
446656429, terra10vxxel0j2gmamyvk3swtd5qeewt7x3qrf2kfc5
176220430, terra10vzjv3nja440sz9vw2pmd253ygyyxu6ct0f94f
593745349, terra10w24334krhjfm2dekeg9zxqgzvlfwedmplunjl
99894235, terra10w40vh8k2afsr9zqf6303dw66ny62r4jm4xwl5
56528060, terra10wc64yn37q5nra72cv68pdvzdzzl7s09uwnm2c
2128745735537, terra10wrrhj0kf2yalunn4efxaqfasrmg9xrnseh8sf
228893348, terra10wrrqu6d9s9aacefwenhqrnyz5z68sn25at2tq
519795997, terra10wudkjzj2y2p09cc08v3tqg3qz60q9swzgu4gv
0, terra10ww898t6pn2hxwk9mcrpnmlprn95hwayg6ejwm
2918896739, terra10wy2stmrmsnvu70w0y796pu5gx3sn5yy27htd5
61913706, terra10x4td3qm42yxtfr8l805a34qdrw2s049rfkmax
597028092, terra10x67kdfwaj35rsf8rvscw3ha6aex3ax76hwfqt
18452206, terra10xcc2cd55pkq4hj4maa3dfsega347vkln0yasc
0, terra10xkx8u688q9lh5z0cmau7mundv2kuuc0wyhwh3
62231240, terra10xslqh63yg23sj0tdacyrzc5vhpclqtgxws0n3
0, terra10xt0yhdullk2n8st46dja4tazkrckkyvlsjfac
0, terra10xx46ahg4av6dy65vncwpn7vsc6v2c6nswjauy
0, terra10xzk893afxxkvyzxg9vzsde4575yjrjfapph3r
0, terra10y0t79krtc0se4k2f987dnmwzdzgtzsstljqhw
0, terra10y23s4csey0cmt8etysj2aurcjrqsc6wd8lxfs
257481101, terra10y4kcp7wh98e9w8xan55eq5zwd39za7j2dtltf
250002824, terra10y5kg8ma2dsnxra66ekydwuugff7z3stwpm2w3
26511997, terra10ycfg0dznhav7rdals45vncaxewzlcs55nfnhn
306001473, terra10yfjdgrj40yckeh5gju86fzyyrw46va48ajxg4
0, terra10ygfsxp33gcj89qg36vvfp8r64qvjkjp96a7sp
300349995, terra10yhe0gxaq97ccqmgteggfqr9cl3dgckjjg6n5y
