TxHash,Block Height,User Address,MARS Claimed,MARS Claimable
949B47AA72350AD8B6213C9AF4C1BF9A7D9D60138657A41EA5C67894C6A320FC,7786500,terra176j7je9aplyllrp8d6dwd0urg7zegdw5ewj3pc,0,177178473
E28D1A4E79ECDFDADB35EDAF614AA8D9DA47ED61585911B9DAD4959FB0C3B858,7786224,terra1zhstrj2apcvevaww68phxwgfeqrfvtq57p5t7h,0,1875976
6EC8DECC3F5DE80338D15250287051533C17EDBB621D0F51795641F073A4F1EF,7786085,terra1rnrq9j0y8pph0raky277srzt8rchw7qf43vufr,331409383,0
7CF1297678C0196B19DE57CDD03D1A09A06F8A4806E6EF419BB3D996C4F05177,7785916,terra198s2kd3durxq43cwa3plhzp4m7sjn9qffxvp6g,92411684,0
8050FF0B5AA91AFEF595A0CB0795626201899687F140F76490597C2CB2F35033,7785899,terra1glygpwnu9zg80ag3h8rktp9pus75mt9va9eglc,1572778026,0
BA017130090504E601115F493E75A2C2EE6F1B0BD6ACCDABDA9CD7CCB457E55B,7785847,terra1e0fuqx80sfy0rpr3pn2x9en77065tf09j42z2d,0,1797427713
7D4265A87A2CB2F9D3603442B5ACCE121D4F01E556A7063785C263CFFDC748C5,7785840,terra1vepae4zm76yjx6rvyv93r5zg84cgflhm3926qx,0,24502768
857E7E76594CA144E98CD9A93FE2A515EEAAF9BA955A7C4AC91AC0DD64819923,7785792,terra1sy97rklnncvuk2hc8mrxtfh55n5ltgsu46vyye,428314162,0
37D7E5F947E424AD970A3920DACFE87F4EFAC1C055FF88AC35046899C7AD2F0B,7785787,terra1fplecvsg78pmw3dweu8m68hta5ffdf4ry7ha79,23599892,0
591D2243BF57F6E3037E1AAC4F2A1716F806339573CCD6B0FA8D313DFD1D6E44,7785762,terra1evl88qy8rpqltdhthlvzxluue84h588haxsf84,1984983893,0
2787DB3A9D4C106CA7097EB7ED5843F51DBA1E28C29E2412D034CC7A145070A7,7785705,terra1z8035fey72m5dum5kjfch34dyq5negqvp2pmjf,402490228,0
F2A91A6B2B4952AA2A10568EAC59FE6BB31BF3A3562FC27474CB38BB9255119F,7785692,terra15kjqwscpugn0z5pht7hcj2n3fyutl52505lxmw,0,503566016
C7DCB660DB19B026D899E67C83FED368AC1DA3BE3F720CC76750630BB52766B7,7785380,terra159cga7y9m75ptg4g0p9xkjvwv39ap6fpl0yfk9,0,1673242600
8ED4A781C7F29704DA33DC883F69DD881A61C2ACE4AC3EB859154DE19ECEAAAB,7785327,terra1n3sum5ax675nce0fd7zke9d9sld2qruffqrf8u,152598272,0
62DCA156821CDB97387426AF4BE1C8D601A60BE4E16A9AF133C00547479F2767,7785306,terra1mllcncn0er028md3au6d3657jvkfddqm48grdg,328726608,0
0D032C6D16B4F7E2685F9F16ADA47103B93BFA646533EC917CDEEFEB158F1A5C,7785288,terra148wlu8d9yw46adyztcam7gj998esex0g0yrqd4,0,1473773550
73A63874279ED31FAAD866C6BDFC7153788EB31481E8FDB037EBE79EA6D5252F,7785269,terra1ud3pth6xkfdmn6yrka7zex2ay7v4wjelq7rwsq,0,18502022
