amount,address
0, terra109navsr3djzl90x36s2fuv3chj4tvq84hsrsyq
4350777, terra109ngmmpl9yxs5mztpxgpdj36yy9c7dfrnmf332
18473222, terra109q8h42aah0n5a5cs96ph287le9ql8gdw4g6ec
18473222, terra109rh800kecdgcy8r9vatjxh20c9rz7wffk8dnu
0, terra109rvm558vnsw0nw9nrlcltakxp0hnfl5hjavls
0, terra109sjustn3qhlpjwqndvk2z53sj85akvt3g34fv
0, terra109tqxhzurzjwgfew5zwxcspmwpnt54fvt3zwv5
0, terra109u4tyc8tqyhhujx0sermhv8njff3d94cmz26x
118410004, terra109ushyxp87puhs8ev6mt9ceqd4uvpgpcmjv40n
74354000, terra109vgn84td32clya98t6zucz46yzrp6uk9u2mge
728365783, terra109vsptrst2wyfxrp35zlwj86chcg3pw50ad7w9
1, terra109wt0lvwk560kjpdhuusj3a7ldnzasv028gmvt
18473222, terra109wuw87pgmm6ldn8clhvm3zzkh2g3ndmq6mtt8
0, terra109xaxvp6p38sgrm8fzxkdkhnvazm8am2krmaaq
20816703, terra10a0ea2trt32xdegl45q0pj4wtm0fnr4j0ynpa2
18473222, terra10a20t5altkj6wczzz5wusa5adcgsdatx60wv3l
0, terra10a270ah8auuw64z6qfqlcnxkazgpg9lc86dqge
0, terra10a4pvs2t2m8rn28jw2g750ky74c767dl54a5e5
18473222, terra10a5t2vp2hkw0wmj746mqzzqznshpdun2racjuc
131003163, terra10a7cy5xef7u3ndpftxruavpuze3x684fmd3gy9
38532133, terra10a7gf76534vnlghvvs9en25z8jd3d7p7rp0u9c
170, terra10aaarakgmc4f7n9tg84wr7dstd22nwrjmdnr47
157535459, terra10aanrtppm50hk8t6mx6h5x844klnl6nxc2jdj3
3043329630, terra10aavpwldqa87ydk34attncn3fjwp7esvtgqezn
41749482, terra10aax2dd28lwsjp8f0a7pflq5cvmda3l9k8h0lj
0, terra10adce5jymvntqkgc20kahjsx9w6dgfz9ct2w8k
135760724, terra10ae4pq8maw9fp3vhq0v0j049aqyhxxghqda5jj
8118771, terra10aekalt3sjp7uprd3jrz9n2fczmgr0qat30m86
0, terra10afrv9k8pcr6g57y0x79ytlnmhlfl5knwmjusl
71802751, terra10ah4qw9w5pjv8vwtqkrjlqjm3xdvchypsw0mxx
310177612, terra10ahh7muyq7xl87w7lrxp804y84u4vepeyrwp3q
0, terra10aj5nuuse529qzpaes7vpnyplefuce4zh8xjde
0, terra10alspcwkpkwf5g9hyl8hq40uuxjjzuxj4dgltd
0, terra10anx9x2vcxvrx8mhfyva64n90ycfcjx4e5w9ev
0, terra10ap7puhzep73zeve3kl4k8wga77ln3djh25fu7
47740961, terra10apc83desxvkjpnu4ar3wme94gsqr0h205jchz
