User Address,MARS in Cooldown
terra14auqdy9c4ql4y205a6hu6zh2zr5h5u3e8h8mww,78320220
terra14c2nf8tlmy6d8jh3vqevmpxzprj5c45uwycwxh,18514360
terra14da2dn4ve2p6z6hug6wdj5c08w29t6sxgsej98,465622570
terra14gk3nm6u2elrvr5857xmecjwy452d047zth8f3,58846523
terra14gm32u5rtu488f9dgemar4tywyxl22yq08550q,18514233
terra14gqzv8gvc6jck5jaxdpqjnzv32u2td7a3ej6dg,100222692
terra14gvj0az6npjhsz7mjxe3da4tceefym8rhdtf76,489791654
terra14h8mkf7ueq9f7juvcsfcukdrlrdxl95s0zppet,25109718
terra14hrck3rhhufclzdqn3mp2yzj4ga5euldwqkc52,18496092
terra14hw04a3wqtwgm33yzxk8cpg3fu7zfjuq0mwrrr,526674031
terra14lqfmryda85avseex9n8ajaeqqnvagk6chtm24,46947968
terra14m97zejmhx9anfep2jpkmnpuggxx8gahspqld9,98891353
terra14mju49h9zl29zcr8n3r333eh0mpzdsgz59t9jk,251546260
terra14mpvp24qd6rdthw2akhwqhqvvtq32tcfej2dgt,387730621
terra14psm7kykqq6htpwaees6de9q7ak4dga8zuuyuk,137685419
terra14pzgev7helny856evkes2qf3csl5dr0sqjztv6,131559818
terra14rh2y85vnzdlt5ufwt6tewd8qdudxl83g8grlv,61
terra14rhxm5szhwg3rdzq3yc46vpjhqfsfuupn92yfc,31164249098
terra14rrgeuqc363447nqndrnefxa07g6ue3puqyxqs,66146661
terra14sel4a2dm5a986dgf6wvkzk2lqfq3me72v8fy7,98850592
terra14sm64p6l5d2ssag9lgaustnxt4fzwc76xer89q,79033498
terra14src9w9d4luckd2ge05d73a4cvasaxkga0va07,553831205
terra14sxvq2tea36fd60phv34tq6sxxskrkc70gw8d4,1255798339
terra14t7sprpm27qrfcqgdv8wezxxxmgfxznmajvs0q,59395332
terra14ttlvaes7rrs93sek3wgc9w0qv4fyg7588ze32,109006397
terra14u72zvwd0qlsznqz7ad9v24txygaydgcjxt2d8,20023820
terra14uhaaeuuzluv9x8nu4gzcnhfvp2ysgg0xfuujt,104231599
terra14unj9vqr7t69ezsvs9v99dx4mfr7gkgx4j4lpa,11765947800
terra14v9snynd4z9344ukurxtjjx6zmpqhdkk5t79l6,55157251
terra14vq2ruxecpqtluj8d4jqdj62qtjfxatmwctn4e,95027102
terra14vscrecqvemztr2hy54vsvu25hkz462f6sxfw5,3071109626
terra14wjxlvk9ypyqhf0xjv0dv8a98tdmgvyvaetxn0,205061250
terra14wkc2c2d75dhpllrdwpghtyxda7xkhdujyc9xu,1317118570
terra14wttqqwgh59g76t7nl0p3vx9rgzfzz7747qqf0,33831175
terra14wy563vehpwdcdzkde9rx0hr02fuqp7yg5g6rp,104567096
terra14xn5maqnvqtkkzeq49ntr0f89rhugvre7lyuc2,12946204
terra14xpj2jxdv5pepspjhj0xmff0g5r5n2ua70zknv,22632090
terra150s3l3rmtx6lpqtsqyxg89sspww8p3pn9f986r,924742125
terra152qewm2z9fdchlc8708thgdf6zg2up8r3r3qpm,212320061
terra152tt6a9l6a5xtkkju09paf0rktw26hll2fjn9c,266001915
terra154tys0y7fh2nlp0x3744f5jh3de2c5qnk3rgm0,153180182
terra1550dejlvgl8wdx9appx9z2ukuzzlh5umylke7a,20544226
terra155r7j4kmu7ealk2mzn3vhgdc8m5hu0lv3kgthk,30403746
terra156qe4jxmtw5fcne0gds2659rd2flvw9443fdaw,263459572
terra157he3fl4yz5087s5037l2l5ayx8ydgjc4wjwgu,32893223
terra158343p7g7qlw76ph5dzvtvk5tztegz3gu6jgzl,2133744278
terra158xrnuv7r76mkaxdp4cyz6l3e99tw4xtyazekj,121907863
terra159cga7y9m75ptg4g0p9xkjvwv39ap6fpl0yfk9,1673242600
terra159fxsdmk7gqrg3fklawz24kznee9xpzt789zxj,957254859
terra15dhdzde9ahkp4e7ptrruvd0m0f805635r4peqf,292228725
terra15egklh52q7c7z0yrpjcmj0kna0lml9afg4wtn8,1432547130
terra15enqshan87t38ja3xzvqnj3hhfhghwtukw3v6x,570309277
terra15f9u6ymaep2wleggm89vmnz9rhr565tm9qdfgd,18508229
terra15fdnpzaccuk3tamws6zyxjpd30j5qw7tmkgq2l,3999150796
terra15fw37exp0hz732mh6gkx79d96c0ghtwdgpg6t4,6167925533
terra15gzq5gaw79v527mcwc5fy5e6n4r4p6dhunlvy8,372340304
terra15hh2yrfdxd37uwfgeqejcglhtx49vmm3eqsrau,425586783
terra15hmkd2mx6n8gf7kjk9suqkhdkhcrlft3kq7gp5,17030483
terra15hu6mh5hm7r344hvsugrruvwkxzdxf26nutd8m,1126096768
terra15j2k9j56swxxww6392ta4f96xdwu5xe4t2evfu,143314762
terra15j2kuj69xa4q2dgssp84c7amm03l72y2njupf8,255320382
terra15j5qvyc4gu8n2lff6h3erl59rkdy5fdxdcnfgr,1513660626
terra15jcjz7d5gv0urst9yzuq68l3nhnu8pxarafn5h,1836214580
terra15jp2f82uen66gxc24gyyzvn4awa9q7rv94gny5,166278299
terra15k2hvsv9wl68hesqkkc73xpsdx7cvux26uy7ng,279578877
terra15k6un4ea93alujmqavxpdgjfuwgn5errqyrnry,44097984
terra15k7flrfdl9zkcmrpmvws5f62erwrycgkrml27f,162911988
terra15kcdq7g63d8sa7g8049a3uhjzr40la2vzz8wdc,3696799617
terra15kjqwscpugn0z5pht7hcj2n3fyutl52505lxmw,503566016
terra15l774y555fdqhy6w368ku9njtqedqjewe6dlt8,12690947760
terra15mjxx3rk0sa9v499hsmqg7kjuk6qm0r82rkyqt,27625513
terra15nh007dn5as7pnrs0j5mdnp2lwc7mjtp5u0q2x,18497180
terra15nkeufa7m83q4g066c4mae6jehx02x8a78nf42,501113519
terra15p763dkhth9z4y4a54n5deh7jlkkd7jzwukmaq,149469992
terra15p7gtdalxnmztp2m88zrnse43yc2jqa0xfjtgu,979175
terra15qd66n6x7pezv8l25usryq36xa02vdg5p9nxuf,18492267
terra15qsgwaqte0n5qhhphz5kvg3pjej2jz93x2neru,523997069
terra15qxn89809lv4l607zhhrmladx6qxga3wzj5dty,24187398
terra15sfurkmfn9cuk3ml2r3mjx3war33lnc8flftcr,15430385
terra15ts6th4eckphsy20zrftwr8zwpsls6y3xaw8fk,3701740754
terra15ufwvcc9vgcusqxrfcusuf4ttmppvwanrz6d6t,304406472
terra15ujxpfc0dh5gxnvewtzhsgxr3x4em3hxl65t4t,429098834
terra15uxalyzg0kfcndgjc7a9rp63mtmkjqn205nyqh,726341950
terra15vdw9u6y88395l2qcsdqk0dp7wvarcvx7q0h9j,52493454
terra15w04luvl5vsxv387a8jfamfqzr4g04a8nmjf29,148834651
terra15w3gw7kxqwwurrn83ym0jgqjhu6nzcrmgz28a5,748762532
terra15wc880ueadludege5t2jf2vxs0jqmtwvdy02h0,616251514
terra15wh4ja06c8t7fz8xvwk3n757tzlf67dynr0lth,7614186
terra15xpez76vtjtt6snm20k0jjln24w5ym7r6lfm2y,100204767
terra15yh8s7kwp7wz026qt0wf2fflrdlmv58ejg8fgy,10833741
terra15yk88ufx8p2cx73jf8xrp492gt7z3w0svjzxl9,20226968
terra15yqxg4akvnqarn7fe5dnt4487tcsfa4zvzccn9,1824568075
terra15zye3ypndnuws85yzc52a8lxs6tmj53wq6kgl5,1536595157
terra162cxa76zpvag4a05da0yhu69awfy35w8pws625,5015037537
terra163694jke2nnm4p3axkx4w29y9jquw9ad4mpkke,48933088
terra163nkfcy4q3dt9xy8de4593yuqd3jn8uth2epdm,368338163
terra1645n24f57p9y86hculvx6zxa7hsye5c8ym2pa9,162046254
terra1646ypcn8hfyzx5axg5hcjhx9spdkeqr62su72q,4388382003
terra164cg85s4p5gyk8xudvmhqplvdk84czmvnxvpqn,140395893
terra164jd7g5nlkm736sk63j5eatrkhz66m8rgf8lsx,425150506
terra165ds54lueyy4nj58ec0lnevrl33z9az405l7sx,560158167
terra165ks6kdac27vvkwnpdcg6mqkxsujz7z8sjtnjr,155874044
terra165zsmxxvgrk87yp4p3cg6vaahylprh6nhdpkxu,10102837440
terra1667d3hfpm3aae0qhvrc75ntrq852d6nqwd6w2j,40059533
terra166cjg7fgj7mack7v3vfp4sx6dfl6nn7nz7lsd2,5479174867
terra166qc8qt6fsvc68vrwa3qstkmg0yu3h549hgpq5,701558858
terra166xnt0hdkwxjktwnmjf489unvztm7wr0jrzxc8,22955206
terra1676s7yvr0ufk0mgq0wllrkx0lqhgmgaalpwha9,18773898
terra167g48dep9kv8ucf58fq6xfkmc5ey9dfnsr7fgj,133803450
terra1686jguvtg8tycqgjwe5qz9veruvrrvdjxft5xv,1995408537
terra168p8txt03xw73drxgk4yvrmnsnlmf3cleq6lmh,14951466
terra168zq6jf3e5v23ywwrpcj73pwf7cmtg26etf8fq,11791376
terra1698gkg3fa5hy042dkaxaynh05022n8ac8j2htu,558992405
terra16amne3ujruk7tvqgvr30nddq6h9ll8sjyau74q,5541320102
